Authority,associatedReferences,Source Type,Source,Version,Reference Author,Title,Publication Name,Listed Publication Date,Publisher,Publication Place,ISBN,ISSN,Pages,Publication Remarks
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cve),https://plants.usda.gov/home/plantProfile?symbol=MAES,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvf),https://plants.usda.gov/home/plantProfile?symbol=MACAG4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvg),https://plants.usda.gov/home/plantProfile?symbol=MAGR8,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvh),https://plants.usda.gov/home/plantProfile?symbol=MAZA,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvi),https://plants.usda.gov/home/plantProfile?symbol=MASA5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvj),https://plants.usda.gov/home/plantProfile?symbol=MAAR3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvk),https://plants.usda.gov/home/plantProfile?symbol=MAVU,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvl),https://plants.usda.gov/home/plantProfile?symbol=MADR2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvm),https://plants.usda.gov/home/plantProfile?symbol=MAHI6,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvn),https://plants.usda.gov/home/plantProfile?symbol=MAMI13,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvo),https://plants.usda.gov/home/plantProfile?symbol=MAMU2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvp),https://plants.usda.gov/home/plantProfile?symbol=MAQU,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvq),https://plants.usda.gov/home/plantProfile?symbol=MARE6,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvr),https://plants.usda.gov/home/plantProfile?symbol=MADI6,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvs),https://plants.usda.gov/home/plantProfile?symbol=MAIN4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvt),https://plants.usda.gov/home/plantProfile?symbol=MALO3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvu),https://plants.usda.gov/home/plantProfile?symbol=MAAN9,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvv),https://plants.usda.gov/home/plantProfile?symbol=MABA5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvw),https://plants.usda.gov/home/plantProfile?symbol=MABO8,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvx),https://plants.usda.gov/home/plantProfile?symbol=MAMI4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvy),https://plants.usda.gov/home/plantProfile?symbol=MAPU7,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvz),https://plants.usda.gov/home/plantProfile?symbol=MEAR,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cw),https://plants.usda.gov/home/plantProfile?symbol=AGPR5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cwa),https://plants.usda.gov/home/plantProfile?symbol=MEHE5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cwb),https://plants.usda.gov/home/plantProfile?symbol=MEHY4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cwc),https://plants.usda.gov/home/plantProfile?symbol=MELA5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cwd),https://plants.usda.gov/home/plantProfile?symbol=MELI5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cwe),https://plants.usda.gov/home/plantProfile?symbol=MELU,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cwf),https://plants.usda.gov/home/plantProfile?symbol=MEMI,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cwg),https://plants.usda.gov/home/plantProfile?symbol=MEMO10,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cwh),https://plants.usda.gov/home/plantProfile?symbol=MEMO5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cwi),https://plants.usda.gov/home/plantProfile?symbol=MEOR2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cwj),https://plants.usda.gov/home/plantProfile?symbol=MEPO3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
